Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
glycochenodeoxycholate[c]	6	4.6566	0.27632	0.80696	-4.6567	0.7317	1	3.299	0.83225	0.9838	5	3.8942	0.77648	0.99076	1	-0.6268	0.83383	0.96952
taurochenodeoxycholate[c]	10	4.8601	0.32579	0.85656	-4.8601	0.69816	1	6.5616	0.63278	0.97749	8	5.9162	0.72562	0.99076	2	2.8397	0.48002	0.9652
sulfochenodeoxycholate[c]	4	-1.8939	0.87695	0.99999	1.8939	0.17126	0.81732	1.9707	0.85404	0.98629	2	-0.15385	0.93153	0.99076	2	2.9408	0.46473	0.96094
24-hydroxycholesterol[c]	2	-0.86348	0.7544	0.99999	0.86348	0.29504	0.93502	0.014813	0.89749	0.98725	1	-0.99517	0.92046	0.99076	1	1.0161	0.63367	0.9673
cholest-5-ene-3beta,7alpha,24(S)-triol[c]	2	1.0788	0.54704	0.99999	-1.0788	0.48246	1	2.6469	0.60445	0.97734	1	2.7272	0.48099	0.99076	1	1.0161	0.63367	0.9673
4-cholesten-7alpha,24(S)-diol-3-one[c];4-cholesten-7alpha,27-diol-3-one[c]	3	1.0149	0.59587	0.99999	-1.0149	0.4396	1	1.4198	0.85039	0.98551	1	2.7272	0.48099	0.99076	2	-0.18957	0.86439	0.96952
4-cholesten-7alpha,12alpha,24(S)-triol-3-one[c];4-cholesten-7alpha,12alpha,27-triol-3-one[c]	2	-0.84194	0.7524	0.99999	0.84194	0.29693	0.93502	-0.18957	0.91073	0.98725	0	NA	NA	NA	2	-0.18957	0.86439	0.96952
cholest-5-ene-3beta,7alpha,27-triol[c]	4	1.3901	0.58349	0.99999	-1.3901	0.45617	1	7.6029	0.13912	0.59899	3	5.0398	0.42433	0.99076	1	6.4766	0.04049	0.43412
25-hydroxycholesterol[r]	2	1.1461	0.5392	0.99999	-1.1461	0.4893	1	3.0718	0.54104	0.9571	1	3.0634	0.42891	0.99076	1	1.2808	0.595	0.9673
20-hydroxycholesterol[r]	2	-2.3774	0.87136	0.99999	2.3774	0.17765	0.81747	1.8723	0.71223	0.97978	0	NA	NA	NA	2	1.8723	0.62447	0.9673
26-hydroxycholesterol[m];26-hydroxycholesterol[c]	3	-2.9315	0.91986	0.99999	2.9315	0.11805	0.71797	6.1753	0.21939	0.7214	1	2.9386	0.44815	0.99076	2	5.4853	0.14576	0.65625
5beta-cholestane-3alpha,7alpha,12alpha,24s,25-pentol[r]	24	3.9694	0.63954	0.99999	-3.9693	0.44898	1	10.679	0.64073	0.97967	15	9.0182	0.6787	0.99076	9	5.797	0.49857	0.96722
3alpha,12alpha-dihydroxy-5beta-cholanate[c];3alpha,12alpha-dihydroxy-5beta-cholanate[r]	3	1.5628	0.53244	0.99999	-1.5628	0.49657	1	1.0246	0.88272	0.98725	2	1.4439	0.80961	0.99076	1	-0.26737	0.79731	0.9673
cholate[r]	2	2.2793	0.40739	0.91859	-2.2793	0.60327	1	1.4439	0.76518	0.97978	2	1.4439	0.80961	0.99076	0	NA	NA	NA
deoxycholoyl-CoA[c]	3	3.3315	0.33028	0.85656	-3.3315	0.67519	1	2.5039	0.73399	0.97978	3	2.5039	0.78672	0.99076	0	NA	NA	NA
lithocholate[c]	3	-1.5898	0.84357	0.99999	1.5898	0.20224	0.83405	3.8511	0.5444	0.9571	1	2.2949	0.54832	0.99076	2	3.0938	0.44171	0.95692
taurolithocholate[c]	4	-0.73235	0.79509	0.99999	0.73235	0.25707	0.90708	3.5814	0.67092	0.97978	2	2.124	0.73122	0.99076	2	2.9408	0.46473	0.96094
sulfotaurolithocholate[c]	3	-1.2117	0.8154	0.99999	1.2117	0.23126	0.88301	4.0626	0.51233	0.9497	1	2.8777	0.45758	0.99076	2	2.9408	0.46473	0.96094
glycolithocholate[c]	5	-0.55494	0.80087	0.99999	0.55494	0.25542	0.90708	2.7889	0.8301	0.9838	3	1.1993	0.9036	0.99076	2	2.9408	0.46473	0.96094
sulfoglycolithocholate[c]	3	-2.8664	0.91696	0.99999	2.8664	0.12145	0.72528	1.8663	0.80729	0.98315	1	-0.92644	0.91641	0.99076	2	2.9408	0.46473	0.96094
hypotaurine[c]	3	2.8026	0.3884	0.91149	-2.8026	0.62396	1	2.9932	0.66947	0.97978	2	3.3947	0.552	0.99076	1	0.38357	0.72015	0.9673
cysteamine[c]	3	0.72507	0.62852	0.99999	-0.72507	0.40989	1	3.1712	0.64454	0.97967	2	2.0994	0.7343	0.99076	1	2.5236	0.4073	0.94135
cholate[s]	5	4.2855	0.28483	0.81693	-4.2856	0.72147	1	8.0239	0.15042	0.61319	4	6.6496	0.30021	0.93225	1	4.6427	0.14818	0.65625
chenodiol[s]	6	5.0328	0.24089	0.75751	-5.0328	0.76282	1	8.3571	0.17081	0.63999	5	7.0785	0.31464	0.93291	1	4.6427	0.14818	0.65625
glycocholate[s]	8	3.4409	0.4435	0.94754	-3.4409	0.59267	1	5.5073	0.66863	0.97978	6	4.7198	0.74593	0.99076	2	2.8397	0.48002	0.9652
Na+[s]	87	8.5189	0.65858	0.99999	-5.5397	0.21831	0.862	27.192	0.026756	0.30818	50	23.535	0.026816	0.24989	37	14.337	0.14785	0.65625
Na+[c]	89	9.1315	0.59941	0.99999	-6.186	0.26747	0.90708	27.527	0.023655	0.28929	52	23.919	0.026149	0.24638	37	14.337	0.14785	0.65625
taurocholate[s]	9	3.8341	0.41928	0.9301	-3.8342	0.61642	1	5.6682	0.70543	0.97978	7	4.9093	0.78293	0.99076	2	2.8397	0.48002	0.9652
taurochenodeoxycholate[s]	9	4.274	0.36989	0.88865	-4.2741	0.65902	1	6.1516	0.63877	0.97967	7	5.4573	0.71616	0.99076	2	2.8397	0.48002	0.9652
glycochenodeoxycholate[s]	5	3.9621	0.31772	0.85027	-3.9622	0.69288	1	2.5876	0.84875	0.98551	4	3.2064	0.79284	0.99076	1	-0.6268	0.83383	0.96952
HCO3-[s]	23	4.5339	0.5647	0.99999	-4.5056	0.51539	1	11.56	0.46846	0.92176	15	9.4823	0.6122	0.99076	8	6.6163	0.32412	0.888
glutathionyl-leukotriene C4[c];glutathionyl-leukotriene C4[s];S-glutathionyl-2-4-dinitrobenzene[c];S-glutathionyl-2-4-dinitrobenzene[s];S-glutathionyl-ethacrynic acid[c];S-glutathionyl-ethacrynic acid[s]	4	1.5849	0.56141	0.99999	-1.5849	0.47595	1	5.9062	0.3299	0.84735	3	4.1395	0.56325	0.99076	1	4.6427	0.14818	0.65625
ADP[r]	10	4.587	0.35518	0.87725	-4.587	0.67279	1	6.6659	0.6177	0.97734	7	6.0609	0.63288	0.99076	3	2.912	0.55817	0.9673
bilirubin-bisglucuronoside[s];bilirubin-bisglucuronoside[c]	2	7.2677	0.044683	0.35128	-7.2677	0.9373	1	7.0504	0.078933	0.46114	2	7.0504	0.10262	0.5786	0	NA	NA	NA
bilirubin-monoglucuronoside[r]	2	7.2677	0.044683	0.35128	-7.2677	0.9373	1	7.0504	0.078933	0.46114	2	7.0504	0.10262	0.5786	0	NA	NA	NA
bilirubin-monoglucuronoside[s]	3	8.1473	0.031696	0.29377	-8.1473	0.95679	1	7.8694	0.077826	0.46114	3	7.8694	0.098353	0.55976	0	NA	NA	NA
lc4Cer[g]	8	8.7086	0.046893	0.3606	-8.7054	0.94494	1	10.006	0.098556	0.51878	6	10.577	0.053901	0.40271	2	1.6934	0.64996	0.9673
type I A glycolipid[g]	4	6.898	0.083657	0.45754	-6.8979	0.90272	1	5.9801	0.31981	0.83848	4	5.9801	0.39618	0.99076	0	NA	NA	NA
glycolipid[g]	4	10.733	0.0064024	0.1025	-10.615	0.98768	1	10.084	0.021366	0.27666	4	10.084	0.031401	0.28177	0	NA	NA	NA
lc3Cer[g]	3	9.0542	0.016862	0.20011	-7.8837	0.95008	1	8.2808	0.057438	0.40484	2	11.045	0.0026053	0.075946	1	-1.277	0.88836	0.97155
lactoneotetraosylceramide[g]	6	6.8314	0.1098	0.52118	-5.9039	0.82666	1	14.634	0.00043999	0.035754	3	15.299	1.4599e-05	0.0050117	3	5.3971	0.20883	0.77549
nLc5Cer[g];nLc7Cer[g]	2	4.7977	0.16513	0.63498	-3.3641	0.70476	1	9.4963	0.009542	0.18671	1	10.17	0.0015459	0.053507	1	3.2603	0.30294	0.85901
type II H glycolipid[g];VI2Fuc-nLc6[g]	4	7.6417	0.055265	0.38467	-7.5194	0.92731	1	9.0804	0.049962	0.37807	3	9.5174	0.026694	0.24989	1	1.676	0.53562	0.9673
acgalfuc12gal14acglcgalgluside heparan sulfate[g];acgalfucgalacglcgal14acglcgalgluside heparan sulfate[g]	2	7.7868	0.032074	0.29508	-6.3533	0.90313	1	7.3011	0.065807	0.43631	2	7.3011	0.086509	0.51844	0	NA	NA	NA
nLc6Cer[g]	6	1.8903	0.5841	0.99999	-1.7904	0.45046	1	11.111	0.023135	0.28691	2	11.546	0.0014159	0.053365	4	5.4432	0.26866	0.83213
nLc8Cer[g]	2	13.21	0.00028727	0.012647	-11.61	0.99584	1	13.105	0.00010024	0.012609	2	13.105	0.00017094	0.016106	0	NA	NA	NA
G00077[g]	2	5.9188	0.09633	0.4917	-4.4853	0.79496	1	8.2787	0.030046	0.31813	1	10.17	0.0015459	0.053507	1	1.5383	0.55648	0.9673
acngalacglcgalgluside heparan sulfate[g]	3	4.338	0.23107	0.75027	-4.3378	0.76352	1	5.1114	0.35615	0.85452	2	5.7519	0.22054	0.82742	1	0.71873	0.67553	0.9673
sialyl-3-paragloboside[g]	2	2.7476	0.35504	0.87725	-2.581	0.63257	1	9.0337	0.015091	0.22713	1	8.3639	0.012153	0.18681	1	4.4117	0.16954	0.6884
ferricytochrome B5[c];ferrocytochrome B5[c]	5	-1.2789	0.85454	0.99999	1.2789	0.19942	0.83212	0.7948	0.95658	0.98796	3	-0.88647	0.98271	0.99076	2	2.3424	0.55517	0.9673
nicotinate ribonucleotide[c]	16	10.591	0.030478	0.29091	-10.591	0.96491	1	9.1827	0.54892	0.9571	14	10.244	0.43388	0.99076	2	-1.1293	0.92746	0.97581
nicotinate[c]	2	3.7835	0.24957	0.77103	-3.7835	0.74053	1	3.3324	0.50152	0.94706	2	3.3324	0.56141	0.99076	0	NA	NA	NA
deamido-NAD[c]	7	5.3223	0.2296	0.74876	-5.3223	0.77521	1	4.2021	0.78452	0.97978	5	5.6862	0.52423	0.99076	2	-1.1293	0.92746	0.97581
nicotinamide D-ribonucleotide[c]	10	4.7931	0.33291	0.85656	-4.7931	0.69201	1	5.0311	0.82202	0.9838	8	5.0834	0.82206	0.99076	2	1.0831	0.73137	0.9673
nicotinamide[c]	25	1.0207	0.89014	0.99999	-0.94271	0.18109	0.81747	7.1613	0.96315	0.98796	13	5.8361	0.92012	0.99076	12	4.262	0.81923	0.96952
nicotinamide ribonucleoside[c]	9	5.3068	0.26318	0.79656	-5.3068	0.75071	1	5.4439	0.73431	0.97978	8	5.1733	0.81281	0.99076	1	1.6992	0.5321	0.9673
nicotinamide D-ribonucleotide[m]	3	3.7566	0.2863	0.81845	-3.7566	0.71415	1	2.3957	0.74736	0.97978	2	3.945	0.46827	0.99076	1	-1.4296	0.89905	0.97155
deamido-NAD[n]	2	0.43703	0.62042	0.99999	-0.43703	0.41783	1	-0.96699	0.94964	0.98796	1	0.062091	0.84006	0.99076	1	-1.4296	0.89905	0.97155
NAD+[n]	4	3.9176	0.30168	0.83851	-3.9176	0.70392	1	2.7405	0.77688	0.97978	3	3.9898	0.58605	0.99076	1	-1.4296	0.89905	0.97155
NAD+[s];ADP-ribose[s];nicotinamide[s];ADP-ribose-2-phosphate[c];NADP+[s];ADP-ribose-2-phosphate[s]	2	-2.416	0.87373	0.99999	2.416	0.1751	0.81747	4.6528	0.30885	0.82908	1	1.4786	0.67027	0.99076	1	5.1015	0.11132	0.64007
1-methylnicotinamide[c]	2	-4.4273	0.9586	0.99999	4.4273	0.074013	0.56718	4.0715	0.39063	0.86855	0	NA	NA	NA	2	4.0715	0.30227	0.85901
dephospho-CoA[c]	3	8.0215	0.034422	0.3077	-8.0215	0.95369	1	7.7524	0.084521	0.48013	3	7.7524	0.10647	0.58614	0	NA	NA	NA
pantetheine[c]	8	3.9847	0.38192	0.89929	-3.9847	0.64625	1	4.8819	0.7505	0.97978	7	4.2651	0.84843	0.99076	1	2.5236	0.4073	0.94135
phosphopantetheine[c]	8	7.2552	0.10517	0.51248	-7.2552	0.88917	1	6.095	0.58343	0.97335	8	6.095	0.702	0.99076	0	NA	NA	NA
pantetheine[m];N-pantothenoylcysteine[m]	4	3.1608	0.38175	0.89929	-3.1608	0.63396	1	2.2591	0.82753	0.9838	4	2.2591	0.88199	0.99076	0	NA	NA	NA
phosphopantetheine[m]	6	5.3427	0.21368	0.72085	-5.3427	0.78689	1	4.1501	0.73924	0.97978	6	4.1501	0.81125	0.99076	0	NA	NA	NA
N-pantothenoylcysteine[c]	6	4.2649	0.31574	0.84899	-4.2649	0.69724	1	3.2201	0.83963	0.9838	6	3.2201	0.89306	0.99076	0	NA	NA	NA
pantothenate[c]	7	5.886	0.18275	0.66494	-5.8036	0.8107	1	7.0999	0.37571	0.85827	6	6.6385	0.46737	0.99076	1	2.5236	0.4073	0.94135
D-4-phosphopantothenate[c]	5	3.7662	0.33837	0.85825	-3.7662	0.67496	1	2.8267	0.82645	0.9838	5	2.8267	0.88043	0.99076	0	NA	NA	NA
(R)-4-phosphopantothenoyl-cysteine[c]	6	3.5628	0.39165	0.91149	-3.5628	0.63104	1	2.2919	0.91055	0.98725	6	2.2919	0.94549	0.99076	0	NA	NA	NA
(R)-4-phosphopantothenoyl-cysteine[m]	5	2.9637	0.42755	0.9312	-2.9637	0.59766	1	1.7046	0.91412	0.98725	5	1.7046	0.94686	0.99076	0	NA	NA	NA
inositol-1-phosphate[c]	21	0.39056	0.90262	0.99999	-0.39056	0.16442	0.80999	9.7439	0.66018	0.97978	12	6.7333	0.82126	0.99076	9	7.1091	0.30693	0.8667
1-phosphatidyl-1D-myo-inositol-3-phosphate[c]	34	4.2041	0.71824	0.99999	-4.2041	0.38938	1	12.851	0.63235	0.97749	23	9.7741	0.8614	0.99076	11	8.4607	0.21395	0.78632
1-phosphatidyl-myo-inositol-3,5-bisphosphate[c]	26	3.9476	0.6609	0.99999	-3.9476	0.43314	1	11.402	0.60212	0.97734	19	8.113	0.90017	0.99076	7	8.6082	0.090248	0.6069
1-phosphatidyl-1D-myo-inositol-4-phosphate[c]	57	3.9109	0.88057	0.99999	-3.8628	0.22337	0.8664	15.776	0.79008	0.97978	33	12.644	0.82878	0.99076	24	9.4858	0.48125	0.9652
1-phosphatidyl-1D-myo-inositol-3,4-bisphosphate[c]	35	4.2731	0.71672	0.99999	-4.2731	0.38906	1	13.733	0.54334	0.9571	23	10.379	0.80321	0.99076	12	9.0845	0.17553	0.6942
phosphatidylinositol-4,5-bisphosphate[c]	40	0.034897	0.97269	0.99999	0.022555	0.071506	0.55736	11.603	0.90451	0.98725	20	8.0214	0.92582	0.99076	20	8.3876	0.52193	0.9673
1-phosphatidyl-1D-myo-inositol-5-phosphate[c]	35	4.6428	0.67905	0.99999	-4.6428	0.4262	1	12.551	0.71413	0.97978	24	9.5973	0.89778	0.99076	11	8.2118	0.24237	0.81031
phosphatidylinositol-3,4,5-trisphosphate[c]	39	1.3718	0.9342	0.99999	-1.3718	0.13894	0.75377	14.107	0.59997	0.97734	23	9.5948	0.87613	0.99076	16	10.52	0.1377	0.65625
phosphatidylinositol-3,5-bisphosphate[c]	30	3.8328	0.71862	0.99999	-3.8328	0.38219	1	12.643	0.54644	0.9571	20	9.5164	0.80633	0.99076	10	8.4402	0.17869	0.70146
D-myo-inositol-1,4,5-trisphosphate[c]	23	-1.2121	0.96551	0.99999	1.521	0.068386	0.55509	12.288	0.36082	0.85452	10	8.7595	0.43158	0.99076	13	8.6616	0.25298	0.81989
1D-myo-inositol-1,4-bisphosphate[c]	19	-4.3573	0.99548	0.99999	4.3573	0.016413	0.26275	8.8574	0.70955	0.97978	7	4.199	0.85432	0.99076	12	7.9383	0.31064	0.87199
1D-myo-inositol-4-phosphate[c]	4	2.1013	0.50212	0.9894	-2.1013	0.52855	1	3.0885	0.73551	0.97978	3	2.7894	0.75305	0.99076	1	1.3455	0.58539	0.9673
1D-myo-inositol-1,3,4,5-tetrakisphosphate[c]	9	-2.1074	0.93705	0.99999	2.6012	0.085748	0.61886	11.238	0.055823	0.40099	3	8.0961	0.083928	0.51184	6	8.0393	0.099952	0.61875
1D-myo-inositol-1,3,4-trisphosphate[c]	6	-6.4938	0.99604	0.99999	6.4938	0.01159	0.20924	6.8604	0.35027	0.85452	1	0.84301	0.75467	0.99076	5	7.1382	0.13284	0.65625
1D-myo-inositol-1,3,4,6-tetrakisphosphate[c]	2	-0.024041	0.67074	0.99999	0.024041	0.37263	1	4.8489	0.28305	0.79884	1	3.4109	0.37635	0.98993	1	3.4465	0.27855	0.83274
1D-myo-inositol-1,3,4,5,6-pentakisphosphate[c]	7	1.9697	0.59472	0.99999	-1.9697	0.45624	1	4.6147	0.73575	0.97978	5	3.6038	0.80887	0.99076	2	2.9352	0.46558	0.96094
1D-myo-inositol-3,4-bisphosphate[c]	3	2.4897	0.4241	0.9312	-2.4897	0.59251	1	3.8696	0.54161	0.9571	2	3.7878	0.49221	0.99076	1	1.3455	0.58539	0.9673
1D-myo-inositol-3-phosphate[c]	6	7.0215	0.099747	0.50331	-7.0215	0.89076	1	6.2645	0.43679	0.90068	6	6.2645	0.52514	0.99076	0	NA	NA	NA
myo-inositol-hexakisphosphate[c]	8	3.2224	0.46871	0.97138	-3.2224	0.57057	1	2.794	0.93017	0.98796	7	2.7206	0.94775	0.99076	1	0.70445	0.67749	0.9673
ATP[g]	11	9.3571	0.042147	0.34355	-9.3571	0.95085	1	11.204	0.10255	0.52345	9	11.097	0.10481	0.58472	2	2.7344	0.49596	0.96722
PI pool[g]	5	0.47051	0.70724	0.99999	-0.47051	0.34685	1	4.5033	0.6191	0.97734	2	4.3519	0.40704	0.99076	3	2.2605	0.65439	0.9673
1-phosphatidyl-1D-myo-inositol-5-phosphate[g]	6	0.51449	0.73017	0.99999	-0.51449	0.32455	0.97551	3.7131	0.78999	0.97978	3	2.9906	0.7277	0.99076	3	2.2605	0.65439	0.9673
ADP[g]	5	0.87893	0.66498	0.99999	-0.87893	0.38636	1	4.0459	0.68329	0.97978	3	2.9906	0.7277	0.99076	2	2.7344	0.49596	0.96722
1-phosphatidyl-1D-myo-inositol-5-phosphate[r]	9	1.1741	0.71657	0.99999	-1.1741	0.3477	1	3.7189	0.90074	0.98725	5	2.7123	0.88911	0.99076	4	2.546	0.68828	0.9673
5-pp-inspP5[c]	7	2.8843	0.48899	0.98577	-2.8843	0.55027	1	2.5751	0.92036	0.98796	6	2.4939	0.93629	0.99076	1	0.70445	0.67749	0.9673
5-pp-inspP5[n];myo-inositol-hexakisphosphate[n];1D-myo-inositol-bisdiphosphate-tetrakisphosphate[c];1D-myo-inositol-bisdiphosphate-tetrakisphosphate[n]	4	1.881	0.5275	0.99999	-1.881	0.50611	1	2.1312	0.83964	0.9838	3	2.0542	0.83397	0.99076	1	0.70445	0.67749	0.9673
Pi[n]	5	1.3671	0.61163	0.99999	-1.3671	0.43514	1	1.9278	0.90004	0.98725	3	2.0542	0.83397	0.99076	2	0.53225	0.79564	0.9673
1D-myo-inositol-1,3,4,5,6-pentakisphosphate[n]	5	3.2904	0.39052	0.91149	-3.2904	0.62979	1	3.4316	0.76125	0.97978	4	3.4845	0.76056	0.99076	1	0.70445	0.67749	0.9673
D-myo-inositol-1,4,5-trisphosphate[n]	2	5.0663	0.1463	0.59498	-5.0663	0.83441	1	4.8043	0.28883	0.8048	2	4.8043	0.34159	0.9672	0	NA	NA	NA
phosphatidylinositol-4,5-bisphosphate[n]	2	2.0253	0.43657	0.93894	-2.0253	0.57813	1	2.4265	0.63639	0.97967	1	3.3834	0.38045	0.98993	1	0.048269	0.76159	0.9673
phosphatidylinositol-3,5-bisphosphate[r];1-phosphatidyl-1D-myo-inositol-3-phosphate[r]	3	1.3059	0.56238	0.99999	-1.3059	0.46978	1	1.1903	0.86982	0.98725	2	0.62568	0.88283	0.99076	1	1.1768	0.61033	0.9673
dihydrofolate[m]	3	5.094	0.16907	0.64584	-5.094	0.82005	1	4.1224	0.50324	0.94782	3	4.1224	0.56586	0.99076	0	NA	NA	NA
formate[m]	4	3.3701	0.35891	0.88109	-3.3702	0.65389	1	8.606	0.071442	0.44772	2	8.7498	0.027658	0.25493	2	3.4209	0.39325	0.92837
10-formyl-THF[m]	4	7.2475	0.069186	0.41794	-7.2475	0.91721	1	6.9477	0.2017	0.69278	3	8.3098	0.07184	0.46862	1	-0.49765	0.82122	0.96952
5,10-methenyl-THF[m]	5	5.9917	0.14306	0.58587	-5.9917	0.84754	1	6.2029	0.36591	0.85452	3	8.147	0.080915	0.4976	2	-0.17032	0.86279	0.96952
folate[c]	3	0.61683	0.6405	0.99999	-0.61683	0.39892	1	6.0373	0.23525	0.74938	2	3.6214	0.51758	0.99076	1	5.3356	0.095264	0.60846
folate[m]	2	4.6162	0.1787	0.65973	-4.6162	0.80431	1	3.6214	0.45769	0.91799	2	3.6214	0.51758	0.99076	0	NA	NA	NA
cPMP[c]	2	-5.5751	0.98085	0.99999	5.5751	0.041026	0.43261	5.2389	0.23505	0.74938	0	NA	NA	NA	2	5.2389	0.16822	0.68735
molybdopterin[c]	2	-0.78811	0.74738	0.99999	0.78811	0.30169	0.93578	0.69739	0.84313	0.9838	1	-0.27456	0.86999	0.99076	1	1.2608	0.59796	0.9673
THF[s]	2	-0.87387	0.75536	0.99999	0.87387	0.29412	0.93502	6.6474	0.10405	0.52653	1	4.0653	0.284	0.91049	1	5.3356	0.095264	0.60846
biotin[c]	4	6.2287	0.11752	0.53589	-6.1198	0.86398	1	8.7172	0.065863	0.43631	3	8.5602	0.059426	0.4325	1	2.6075	0.39491	0.92837
biotin[s]	3	5.1423	0.16551	0.63498	-5.0166	0.81469	1	8.1236	0.064666	0.43631	2	8.1056	0.04745	0.37144	1	2.6075	0.39491	0.92837
lysine[s]	14	5.1405	0.3645	0.88311	-4.774	0.63892	1	7.8082	0.65839	0.97978	12	5.9937	0.88636	0.99076	2	5.977	0.10721	0.62665
apoC-lys_btn[c]	3	-0.44633	0.74943	0.99999	0.44633	0.29653	0.93502	4.7239	0.41251	0.88145	2	2.3593	0.70074	0.99076	1	4.8453	0.131	0.65625
carboxybiotin-carboxyl-carrier[c]	2	-3.0573	0.90864	0.99999	3.0573	0.1362	0.75377	3.4069	0.49019	0.93727	1	-0.027186	0.8484	0.99076	1	4.8453	0.131	0.65625
6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[c]	5	-1.7636	0.88447	0.99999	1.7636	0.16644	0.80999	5.814	0.42273	0.88622	3	2.2135	0.81807	0.99076	2	6.4818	0.075896	0.57891
6-[(1S,2R)-1,2-dihydroxy-3-triphosphooxypropyl]-7,8-dihydropterin[n]	2	3.7025	0.25718	0.79038	-3.7025	0.7338	1	3.2635	0.51198	0.9497	2	3.2635	0.57177	0.99076	0	NA	NA	NA
6-pyruvoyltetrahydropterin[c];6-pyruvoyltetrahydropterin[n]	2	5.8364	0.10053	0.50408	-5.8364	0.87858	1	5.6066	0.19424	0.68273	2	5.6066	0.23736	0.85108	0	NA	NA	NA
O2-4a-cyclic-tetrahydrobiopterin[c];4alpha-hydroxytetrahydrobiopterin[n];O2-4a-cyclic-tetrahydrobiopterin[n];quinonoid dihydrobiopterin[c];quinonoid dihydrobiopterin[n]	2	2.0384	0.43505	0.93888	-2.0384	0.57943	1	1.4402	0.76562	0.97978	2	1.4402	0.81	0.99076	0	NA	NA	NA
dihydroneopterin[c]	3	-5.2999	0.98218	0.99999	5.2999	0.035567	0.39811	4.8412	0.3952	0.87322	1	-0.78153	0.90735	0.99076	2	6.4818	0.075896	0.57891
Fe2+[s]	8	-0.41111	0.8363	0.99999	0.41118	0.2227	0.8664	10.898	0.051357	0.3816	4	7.3928	0.20809	0.81349	4	8.0193	0.054582	0.50541
Fe3+[s]	7	2.5357	0.5296	0.99999	-2.5356	0.51447	1	9.105	0.13988	0.60079	4	7.6877	0.17675	0.75071	3	5.0311	0.25156	0.81713
porphobilinogen[c]	2	2.2214	0.414	0.92484	-2.2214	0.59757	1	4.328	0.35368	0.85452	1	4.736	0.20233	0.81349	1	1.3847	0.57954	0.9673
hydroxymethylbilane[c]	2	4.1973	0.21262	0.71868	-4.1973	0.77349	1	3.7431	0.43935	0.90491	2	3.7431	0.49902	0.99076	0	NA	NA	NA
uroporphyrinogen III[c]	2	0.36833	0.62808	0.99999	-0.36833	0.41101	1	0.23516	0.88169	0.98725	1	0.5575	0.78841	0.99076	1	-0.22493	0.7927	0.9673
coproporphyrinogen III[c]	2	2.8395	0.34505	0.86079	-2.8395	0.65708	1	2.9579	0.55821	0.95884	1	4.408	0.24038	0.85649	1	-0.22493	0.7927	0.9673
protoporphyrinogen IX[c]	3	7.1074	0.060521	0.39878	-7.1074	0.92542	1	6.6617	0.16863	0.63972	3	6.6617	0.2057	0.81349	0	NA	NA	NA
protoporphyrinogen IX[m];protoporphyrin[c]	2	5.4833	0.12002	0.53992	-5.4833	0.85947	1	5.0419	0.25871	0.77413	2	5.0419	0.3089	0.9323	0	NA	NA	NA
protoporphyrin[m]	3	6.0474	0.10778	0.51948	-6.0474	0.87801	1	5.5497	0.29604	0.8133	3	5.5497	0.3486	0.97794	0	NA	NA	NA
Fe2+[m]	3	1.3428	0.55809	0.99999	-1.3428	0.47363	1	2.6324	0.71769	0.97978	2	2.3203	0.7059	0.99076	1	1.2781	0.59541	0.9673
heme[m]	3	7.2641	0.055187	0.38467	-7.2641	0.93103	1	6.9467	0.14271	0.60294	3	6.9467	0.17561	0.75071	0	NA	NA	NA
hemoglobin[c];globin[c]	2	-0.5341	0.72297	0.99999	0.5341	0.32462	0.97551	2.2081	0.66714	0.97978	1	1.1292	0.71814	0.99076	1	1.9935	0.48727	0.96722
biliverdin[c]	4	0.10846	0.71946	0.99999	-0.10846	0.33085	0.97846	1.2243	0.90943	0.98725	3	0.26278	0.95219	0.99076	1	1.9935	0.48727	0.96722
Fe3+[c]	4	0.033776	0.72668	0.99999	-0.033776	0.32396	0.97551	1.9634	0.85467	0.98629	2	1.4904	0.80475	0.99076	2	1.2863	0.70532	0.9673
bilirubin[c]	3	-2.2007	0.88278	0.99999	2.2007	0.16023	0.8018	2.2913	0.75989	0.97978	2	-0.47661	0.94637	0.99076	1	4.6427	0.14818	0.65625
ascorbate[s]	3	-5.2992	0.98218	0.99999	5.2992	0.035582	0.39811	4.3289	0.47188	0.92489	0	NA	NA	NA	3	4.3289	0.34488	0.90068
dehydroascorbic acid[s]	4	0.77158	0.65158	0.99999	1.792	0.17796	0.81747	12.388	0.0018604	0.080058	2	9.0607	0.020915	0.22492	2	8.4585	0.014486	0.29094
retinol[c]	38	-1.394	0.98946	0.99999	3.5133	0.0093022	0.18615	12.947	0.73597	0.97978	20	7.3045	0.95764	0.99076	18	11.112	0.12219	0.65625
retinal[c]	22	-3.7247	0.99416	0.99999	6.5099	0.0029309	0.081926	12.778	0.26506	0.77831	9	6.9808	0.63173	0.99076	13	10.814	0.069116	0.57393
